#ingles
Contáctenos;Contact Us
Destinos;Destinations
Hoteles;Hotels
Información;Information
Seleccione un idioma;Select a language
Teléfono;Phone
Telefáx;Facsimile
Inicio;Home
Habitaciones;Rooms
Servicios y Facilidades;Services and Facilities
Tarifas y Reservas;Rates and Reservations
Atracciones;Attractions
Ubicación y Acceso;Location and Access
inicio;home
habitaciones;rooms
servicios-y-facilidades;services-and-facilities
tarifas-y-reservas;rates-and-reservations
atracciones;attractions
ubicacion-y-acceso;location-and-access
Nuestras Habitaciones;Our Rooms
Características y Facilidades;Features and Facilities
Acceso por Tierra;Land access
Acceso por Aire;Access by Air
Bienvenidos a;Welcome to
galeria;gallery
Aventura;Adventure
Paquetes y Promociones;Special Offers
Galería Fotográfica;Photo Gallery
Ver video promocional;View promotional video
Destinos;Destinations
Información;Information
contactenos;contact-us
introduzca un nombre correcto;enter a correct name
introduzca un email correcto;enter a correct email
introduzca un mensaje;Enter a message
Nombre;Name
Email;Email
Dirección;Address
Mensaje;Message
Campos Obligatorios;Required Fields
Noticias;News
Ingrese su e-mail;Enter your e-mail
Clima;Climate
Ingrese un email valido;Enter a valid email address
Email Registrado;Registered Email
El email ya esta en uso;The email is already in use
Facilidades;Facilities
Tipo de Habitacion;Room Type
Español;Spanish
Ingles;English
Bienvenidos a Eco Inn;Welcome to Eco Inn
Ofertas y Promociones;Offers & Promotions
Vive Punta Carcol en Panamá;He lives in Panama Punta Carcol
Disfruta de la magia de Puno;Enjoy the magic of Puno
Noticias y novedades;News and announcements
Anterior;Previous
Siguiente;Following
Galería;Gallery
Ubicación;Location
Nosotros;Us
Síguenos;Follow
parrafo 1;Eco Inn Hotels, “Eco friendly” we offer very comfortable Lodging, with excellent location, satisfying the exigencies of our guests with our international standards, and taking care of the environment. Creating unforgettable memories with our warm and personalized service
introduzca una direccion correcta;enter a correct direction
introduzca un telefono correcto;enter a correct phone
Lugar;Place
Tiempo;Time
Distancia;Distance
parrafo2;Subscribe to our newsletter and get information about our promotions
#Cuadro de reservas - temporal
Reservar;Book Now
RSelecciona;Select
RPais;Country
RCiudad;City
RRango;Range days
RHabitacion;Rooms
RAdultos;N° of Adults
RNinios;N° of Children
#FIN Cuadro de reservas - temporal
