#español
Contáctenos;Contáctenos
Destinos;Destinos
Hoteles;Hoteles
Información;Información
Seleccione un idioma;Seleccione un idioma
Teléfono;Teléfono
Telefáx;Telefáx
Inicio;Inicio
Habitaciones;Habitaciones
Servicios y Facilidades;Servicios y Facilidades
Tarifas y Reservas;Tarifas y Reservas
Atracciones;Atracciones
Ubicación y Acceso;Ubicación y Acceso
inicio;inicio
habitaciones;habitaciones
servicios-y-facilidades;servicios-y-facilidades
tarifas-y-reservas;tarifas-y-reservas
atracciones;atracciones
ubicacion-y-acceso;ubicacion-y-acceso
Nuestras Habitaciones;Nuestras Habitaciones
Características y Facilidades;Características y Facilidades
Acceso por Tierra;Acceso por Tierra
Acceso por Aire;Acceso por Aire
Bienvenidos a;Bienvenidos a
galeria;galeria
Aventura;Aventura
Paquetes y Promociones;Paquetes y Promociones
Galería Fotográfica;Galería Fotográfica
Ver video promocional;Ver video promocional
Destinos;Destinos
Información;Información
contactenos;contactenos
introduzca un nombre correcto;introduzca un nombre correcto
introduzca un email correcto;introduzca un email correcto
introduzca un mensaje;introduzca un mensaje
Nombre;Nombre
Email;Email
Dirección;Dirección
Mensaje;Mensaje
Campos Obligatorios;Campos Obligatorios
Noticias;Noticias
Ingrese su e-mail;Ingrese su e-mail
Clima;Clima
Ingrese un email valido;Ingrese un email valido
Email Registrado;Email Registrado
El email ya esta en uso;El email ya esta en uso
Facilidades;Facilidades
Tipo de Habitacion;Tipo de Habitacion
Español;Español
Ingles;Ingles
Bienvenidos a Eco Inn;Bienvenidos a Eco Inn
Ofertas y Promociones;Ofertas y Promociones
Vive Punta Carcol en Panamá;Vive Punta Carcol en Panamá
Disfruta de la magia de Puno;Disfruta de la magia de Puno
Noticias y novedades;Noticias y novedades
Anterior;Anterior
Siguiente;Siguiente
Galería;Galería
Ubicación;Ubicación
Nosotros;Nosotros
Síguenos;Síguenos
parrafo 1; Eco Inn Hotels, “Ecológicamente amigables” ofrecemos alojamiento muy confortable, con excelente ubicación, satisfacemos las necesidades y exigencias de nuestros clientes manteniendo estándares internacionales y cuidando el medio ambiente. Creando recuerdos inolvidables por la calidez y servicio personalizado de nuestra gente
introduzca una direccion correcta;introduzca una direccion correcta
introduzca un telefono correcto;introduzca un teléfono correcto
Lugar;Lugar
Tiempo;Tiempo
Distancia;Distancia
parrafo2;Suscribete a nuestro boletin y recibe informacion acerca de nuestras promociones
#Cuadro de reservas - temporal
Reservar;Reservar una Habitación
RSelecciona; Selecciona
RPais;País
RCiudad;Ciudad
RRango;Rango días
RHabitacion;Habitaciones
RAdultos;N° Adultos
RNinios;N° Niños
#FIN Cuadro de reservas - temporal
